task,H,B,query_ordinal,condition,mode,record_id,success,primitive_steps,decisions,predictor_calls,prediction_blocks,optimizer_seed,prelude,elapsed_seconds,variant,planned_actions_per_decision,maximum_executed_actions_per_decision
cube,150,150,7,clean,released_raw,ap-fresh-cube-007,False,150,30,4500,1350000,26098351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 0}",54.9657,LeWM (5-action replanning),25,5
cube,150,150,7,prefix_a,released_raw,ap-fresh-cube-007,False,150,30,4500,1350000,26098351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 5}",54.9716,LeWM (5-action replanning),25,5
cube,150,150,7,prefix_b,released_raw,ap-fresh-cube-007,True,14,3,450,135000,26098351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 5}",5.6183,LeWM (5-action replanning),25,5
cube,150,150,8,clean,released_raw,ap-fresh-cube-008,False,150,30,4500,1350000,26099351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 0}",54.7756,LeWM (5-action replanning),25,5
cube,150,150,8,prefix_a,released_raw,ap-fresh-cube-008,False,150,30,4500,1350000,26099351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 5}",54.6193,LeWM (5-action replanning),25,5
cube,150,150,8,prefix_b,released_raw,ap-fresh-cube-008,False,150,30,4500,1350000,26099351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 5}",54.7536,LeWM (5-action replanning),25,5
cube,150,150,9,clean,released_raw,ap-fresh-cube-009,False,150,30,4500,1350000,26100351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 0}",55.2746,LeWM (5-action replanning),25,5
cube,150,150,9,prefix_a,released_raw,ap-fresh-cube-009,False,150,30,4500,1350000,26100351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 5}",55.0329,LeWM (5-action replanning),25,5
cube,150,150,9,prefix_b,released_raw,ap-fresh-cube-009,False,150,30,4500,1350000,26100351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 5}",55.4014,LeWM (5-action replanning),25,5
cube,150,150,10,clean,released_raw,ap-fresh-cube-010,False,150,30,4500,1350000,26101351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 0}",54.4145,LeWM (5-action replanning),25,5
cube,150,150,10,prefix_a,released_raw,ap-fresh-cube-010,False,150,30,4500,1350000,26101351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 5}",56.2633,LeWM (5-action replanning),25,5
cube,150,150,10,prefix_b,released_raw,ap-fresh-cube-010,False,150,30,4500,1350000,26101351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 5}",58.535,LeWM (5-action replanning),25,5
cube,150,150,11,clean,released_raw,ap-fresh-cube-011,True,8,2,300,90000,26102351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 0}",3.7048,LeWM (5-action replanning),25,5
cube,150,150,11,prefix_a,released_raw,ap-fresh-cube-011,False,150,30,4500,1350000,26102351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 5}",56.8808,LeWM (5-action replanning),25,5
cube,150,150,11,prefix_b,released_raw,ap-fresh-cube-011,True,6,2,300,90000,26102351,"{""initial_success"": false, ""success"": false, ""terminal_without_success"": false, ""category"": ""policy_entered"", ""primitive_steps"": 5}",4.0742,LeWM (5-action replanning),25,5
