task,record_id,episode,clean_anchor,clean_transport,prefix_a_anchor,prefix_a_transport,prefix_b_anchor,prefix_b_transport
tworoom,ap-anchor-transport-tworoom-112,9436,1,1,1,1,1,1
tworoom,ap-anchor-transport-tworoom-113,7801,1,1,1,1,1,1
tworoom,ap-anchor-transport-tworoom-114,5629,0,0,0,0,0,0
tworoom,ap-anchor-transport-tworoom-115,2753,1,0,1,0,1,0
tworoom,ap-anchor-transport-tworoom-116,8190,0,0,0,0,0,0
tworoom,ap-anchor-transport-tworoom-117,817,0,0,0,0,0,0
tworoom,ap-anchor-transport-tworoom-118,4160,0,0,0,0,0,0
tworoom,ap-anchor-transport-tworoom-119,4690,0,0,0,0,0,0
tworoom,ap-anchor-transport-tworoom-120,4218,0,0,1,0,0,0
tworoom,ap-anchor-transport-tworoom-121,2050,1,1,1,1,0,1
tworoom,ap-anchor-transport-tworoom-122,3396,1,1,1,1,1,1
tworoom,ap-anchor-transport-tworoom-123,1833,0,0,1,0,0,0
tworoom,ap-anchor-transport-tworoom-124,7723,0,0,0,0,0,0
tworoom,ap-anchor-transport-tworoom-125,7762,0,0,0,0,0,0
tworoom,ap-anchor-transport-tworoom-126,8364,0,0,0,0,0,0
tworoom,ap-anchor-transport-tworoom-127,8301,1,1,1,0,1,1
