task,query_ordinal,condition,predictor_error,displacement_error,predictor_regret,displacement_regret,direct_regret
cube,0,clean,9.979339599609375,77.1231460571289,0.0,8.683570861816406,8.683570861816406
cube,0,prefix_a,5.351666450500488,87.42234802246094,21.741912841796875,4.393245697021484,4.393245697021484
cube,0,prefix_b,7.698698043823242,130.71981811523438,0.0,34.90705871582031,0.0
cube,1,clean,1.4836082458496094,7.65311336517334,0.0,0.0,54.9251708984375
cube,1,prefix_a,1.896272897720337,6.740370750427246,3.1934967041015625,3.78558349609375,4.5044708251953125
cube,1,prefix_b,1.5071243047714233,6.280778884887695,0.0,0.0,42.69334030151367
cube,2,clean,57.793418884277344,65.86502075195312,99.60777282714844,99.60777282714844,99.60777282714844
cube,2,prefix_a,143.93560791015625,132.266845703125,0.0,0.0,0.0
cube,2,prefix_b,48.08967590332031,39.92498779296875,0.0,0.0,0.0
cube,3,clean,0.5004906058311462,3.7498252391815186,0.0,6.582145690917969,0.0
cube,3,prefix_a,1.1826655864715576,5.058856964111328,0.0,0.0,0.0
cube,3,prefix_b,0.7097845077514648,5.454305171966553,0.0,9.185749053955078,5.872753143310547
cube,4,clean,4.749184608459473,52.7380485534668,0.0,0.0,0.0
cube,4,prefix_a,4.946365833282471,65.54962921142578,0.0,8.457176208496094,8.457176208496094
cube,4,prefix_b,304.1076965332031,392.8023986816406,1.9817657470703125,0.0,0.0
cube,5,clean,42.75140380859375,37.73222732543945,0.0,0.0,0.0
cube,5,prefix_a,81.11215209960938,50.03813934326172,89.08331298828125,89.08331298828125,89.08331298828125
cube,5,prefix_b,32.58566665649414,19.077163696289062,0.6208953857421875,0.6208953857421875,0.6208953857421875
cube,6,clean,0.6153752207756042,2.127371311187744,0.0,0.7069816589355469,1.0081367492675781
cube,6,prefix_a,0.6285384893417358,1.643479347229004,0.0,1.2695083618164062,3.1748123168945312
cube,6,prefix_b,3.7777719497680664,10.303576469421387,0.6795921325683594,1.5499801635742188,3.103160858154297
cube,7,clean,1.0548394918441772,23.49830436706543,0.0,0.0,0.0
cube,7,prefix_a,1.8102606534957886,28.39800262451172,0.0,5.049308776855469,5.049308776855469
cube,7,prefix_b,1.0201160907745361,8.248698234558105,0.0,4.53829288482666,16.23649501800537
cube,8,clean,0.6723899841308594,111.16984558105469,0.0,30.81372833251953,27.624359130859375
cube,8,prefix_a,358.6783447265625,432.8301696777344,5.93914794921875,7.80889892578125,7.80889892578125
cube,8,prefix_b,3.003467082977295,42.92814636230469,0.0,0.0,0.0
cube,9,clean,4.210849761962891,12.301689147949219,8.614437103271484,8.614437103271484,0.1418771743774414
cube,9,prefix_a,2.330944061279297,13.763490676879883,0.0,5.07781982421875,5.07781982421875
cube,9,prefix_b,1.1220951080322266,4.025546550750732,0.0,0.0,0.0
cube,10,clean,9.474905967712402,23.243865966796875,0.0,0.0,35.741943359375
cube,10,prefix_a,29.335691452026367,34.06206512451172,58.359893798828125,58.359893798828125,72.67320251464844
cube,10,prefix_b,30.63333511352539,42.93986892700195,41.40758514404297,16.962791442871094,15.347129821777344
cube,11,clean,39.610374450683594,28.260173797607422,4.4617919921875,0.0,9.846023559570312
cube,11,prefix_a,3.0233097076416016,7.89314079284668,9.04180908203125,0.0,0.36193084716796875
cube,11,prefix_b,0.811110258102417,29.25281524658203,0.0,5.7335205078125,0.0
cube,12,clean,9.654054641723633,43.25465393066406,0.0,0.0,37.04915237426758
cube,12,prefix_a,52.622886657714844,57.70733642578125,0.0,14.476486206054688,14.476486206054688
cube,12,prefix_b,8.751505851745605,17.509632110595703,0.0,6.6708984375,6.6708984375
cube,13,clean,2.1303999423980713,15.944578170776367,0.0,6.5888671875,10.320640563964844
cube,13,prefix_a,29.92376708984375,35.063045501708984,6.066570281982422,0.0,17.355716705322266
cube,13,prefix_b,4.813374042510986,18.6270751953125,0.3843536376953125,0.0,17.586952209472656
cube,14,clean,4.243705749511719,153.1141815185547,0.0,0.0,0.0
cube,14,prefix_a,306.9683837890625,399.5594482421875,0.0,1.324432373046875,1.324432373046875
cube,14,prefix_b,5.198544502258301,179.04537963867188,0.0,0.0,0.0
cube,15,clean,122.6570053100586,91.84004211425781,0.0,9.979141235351562,0.0
cube,15,prefix_a,6.180840969085693,9.525260925292969,5.68280029296875,0.0,9.677101135253906
cube,15,prefix_b,12.989213943481445,22.874000549316406,1.5347442626953125,3.2536773681640625,3.59027099609375
cube,16,clean,4.541306495666504,142.29803466796875,0.0,0.0,0.0
cube,16,prefix_a,12.17613410949707,17.938005447387695,0.0,11.550758361816406,13.901573181152344
cube,16,prefix_b,8.72163200378418,197.935791015625,0.0,31.15814208984375,31.15814208984375
cube,17,clean,5.547842979431152,9.357728958129883,0.0,2.22088623046875,5.998771667480469
cube,17,prefix_a,1.9533271789550781,13.17072868347168,0.0,16.799488067626953,22.436687469482422
cube,17,prefix_b,2.1346263885498047,11.599401473999023,20.7332763671875,5.480255126953125,13.531173706054688
cube,18,clean,2.62624454498291,6.9975996017456055,3.9899959564208984,0.0,0.0
cube,18,prefix_a,1.3490028381347656,10.738214492797852,0.0,0.0,9.7264404296875
cube,18,prefix_b,1.2037672996520996,19.00257110595703,0.0,0.0,14.154769897460938
cube,19,clean,3.7734928131103516,69.33134460449219,0.0,0.0,0.0
cube,19,prefix_a,5.471749782562256,63.20058822631836,0.0,4.627774238586426,4.627774238586426
cube,19,prefix_b,3.6889569759368896,72.69664764404297,0.0,0.0,0.0
cube,20,clean,2.178328037261963,15.157194137573242,4.857933044433594,36.59100341796875,36.59100341796875
cube,20,prefix_a,1.0384156703948975,5.0481977462768555,2.0428543090820312,1.2613754272460938,2.0428543090820312
cube,20,prefix_b,6.33933687210083,32.87537384033203,0.0,0.0,25.29718017578125
cube,21,clean,15.949997901916504,53.513458251953125,15.887344360351562,15.887344360351562,15.887344360351562
cube,21,prefix_a,57.149776458740234,160.17514038085938,20.420265197753906,20.420265197753906,20.420265197753906
cube,21,prefix_b,112.77767944335938,248.3500518798828,27.069007873535156,27.069007873535156,27.069007873535156
cube,22,clean,0.8605115413665771,4.5672407150268555,0.0,0.0,0.0
cube,22,prefix_a,4.050789833068848,17.713214874267578,0.0,20.98999786376953,8.792808532714844
cube,22,prefix_b,1.39617919921875,53.914703369140625,1.277486801147461,1.277486801147461,1.277486801147461
cube,23,clean,0.9941984415054321,5.305114269256592,1.8470191955566406,3.3954086303710938,1.2154769897460938
cube,23,prefix_a,0.6942031383514404,5.474720001220703,0.2646484375,3.5296249389648438,0.0
cube,23,prefix_b,10.967738151550293,15.733755111694336,10.280532836914062,10.280532836914062,13.760658264160156
cube,24,clean,1.0724010467529297,5.638973236083984,0.0,2.8444557189941406,8.48415756225586
cube,24,prefix_a,13.986164093017578,23.904720306396484,0.0,7.026662826538086,7.026662826538086
cube,24,prefix_b,6.126903057098389,9.855538368225098,0.0,32.213134765625,32.213134765625
cube,25,clean,2.825094223022461,13.482994079589844,2.043651580810547,2.043651580810547,5.841192245483398
cube,25,prefix_a,6.504910469055176,14.838321685791016,0.0,0.0,0.0
cube,25,prefix_b,1.8000354766845703,105.9236831665039,0.0,0.0,0.0
cube,26,clean,0.8026314377784729,83.40162658691406,0.0,1.1388545036315918,1.1388545036315918
cube,26,prefix_a,2.800349235534668,11.975509643554688,0.0,4.6910552978515625,7.6300811767578125
cube,26,prefix_b,100.38938903808594,89.59274291992188,0.0,0.0,6.321449279785156
cube,27,clean,1.3209418058395386,16.765010833740234,0.0,11.057601928710938,11.057601928710938
cube,27,prefix_a,2.33200740814209,20.427940368652344,7.9695892333984375,28.1912841796875,28.1912841796875
cube,27,prefix_b,3.6479716300964355,14.321931838989258,18.231101989746094,10.708961486816406,13.459236145019531
cube,28,clean,2.599970817565918,38.17934036254883,0.0,0.0,0.0
cube,28,prefix_a,381.386962890625,406.7945556640625,0.0,0.154022216796875,0.154022216796875
cube,28,prefix_b,366.67962646484375,359.3120422363281,25.615570068359375,28.1636962890625,28.1636962890625
cube,29,clean,1.7003717422485352,10.997653007507324,2.08038330078125,8.56121826171875,43.049278259277344
cube,29,prefix_a,0.9045689105987549,4.5425519943237305,3.624908447265625,0.0,13.937469482421875
cube,29,prefix_b,1.1098206043243408,4.733259201049805,2.0109100341796875,5.1297149658203125,14.83349609375
cube,30,clean,0.6233049631118774,5.0790510177612305,0.0,1.4348831176757812,1.4348831176757812
cube,30,prefix_a,0.8204978108406067,4.500304698944092,0.0,10.876544952392578,10.876544952392578
cube,30,prefix_b,1.151825189590454,5.816701889038086,0.3234138488769531,0.3234138488769531,2.0179443359375
cube,31,clean,0.4735468626022339,29.740034103393555,0.0,0.0,0.0
cube,31,prefix_a,16.650028228759766,37.982486724853516,10.874824523925781,10.874824523925781,10.874824523925781
cube,31,prefix_b,5.521272659301758,10.33218765258789,0.0,0.0,0.0
cube,32,clean,2.1149544715881348,140.07359313964844,0.0,0.47882843017578125,0.47882843017578125
cube,32,prefix_a,1.5351858139038086,99.94010162353516,0.0,1.111532211303711,1.111532211303711
cube,32,prefix_b,3.4270262718200684,124.1068115234375,0.0,0.3493080139160156,0.3493080139160156
cube,33,clean,1.0436079502105713,76.77328491210938,4.93927001953125,4.93927001953125,4.93927001953125
cube,33,prefix_a,3.1711573600769043,90.4367904663086,0.0,0.0,73.071044921875
cube,33,prefix_b,1.67563796043396,161.19058227539062,0.0,0.0,0.0
cube,34,clean,2.7706966400146484,55.019378662109375,0.0,0.0,0.0
cube,34,prefix_a,11.125238418579102,90.38236999511719,4.300176620483398,4.300176620483398,4.300176620483398
cube,34,prefix_b,10.888891220092773,104.51547241210938,0.0,0.0,0.0
cube,35,clean,12.04169750213623,19.28465461730957,18.945144653320312,8.774269104003906,8.119064331054688
cube,35,prefix_a,1.3135194778442383,29.860036849975586,0.0,0.0,0.0
cube,35,prefix_b,1.3646225929260254,9.845794677734375,0.0,3.2730789184570312,13.280803680419922
cube,36,clean,7.773749828338623,71.02439880371094,0.0,14.85078239440918,14.85078239440918
cube,36,prefix_a,6.4795379638671875,200.87594604492188,0.0,0.0,0.0
cube,36,prefix_b,219.99319458007812,222.850341796875,0.7766571044921875,1.480072021484375,0.239776611328125
cube,37,clean,1.3157978057861328,25.666751861572266,0.6744041442871094,4.596920013427734,1.0853538513183594
cube,37,prefix_a,215.6497802734375,230.76162719726562,44.603515625,15.0947265625,44.603515625
cube,37,prefix_b,1.058854579925537,37.15110778808594,0.0,0.0,33.5556697845459
cube,38,clean,2.3934335708618164,6.974947929382324,0.8333220481872559,0.0,0.0
cube,38,prefix_a,2.2916042804718018,18.7565975189209,0.0,0.0,0.0
cube,38,prefix_b,7.458044052124023,185.40403747558594,0.0,64.30151748657227,61.83864212036133
cube,39,clean,0.6426088809967041,2.290863037109375,0.0,0.0,2.5048294067382812
cube,39,prefix_a,1.238853931427002,4.160782814025879,0.0,5.6461334228515625,20.76433563232422
cube,39,prefix_b,0.5770943760871887,2.4379122257232666,0.1153564453125,0.1153564453125,6.648780822753906
cube,40,clean,22.18876838684082,44.13091278076172,0.0,7.912017822265625,7.912017822265625
cube,40,prefix_a,3.177403450012207,59.13746643066406,9.592845916748047,9.592845916748047,9.592845916748047
cube,40,prefix_b,38.448402404785156,14.882122993469238,0.0,2.255279541015625,7.02410888671875
cube,41,clean,26.236366271972656,35.672889709472656,99.17683410644531,1.4521102905273438,64.2200927734375
cube,41,prefix_a,8.272407531738281,12.86197280883789,3.2105560302734375,3.2105560302734375,24.306983947753906
cube,41,prefix_b,22.386566162109375,22.40921974182129,93.71432495117188,0.5749893188476562,0.5749893188476562
cube,42,clean,0.9804127216339111,12.975849151611328,0.5570030212402344,2.8483591079711914,6.393346786499023
cube,42,prefix_a,4.472146511077881,12.041595458984375,0.0,0.0,0.0
cube,42,prefix_b,409.40704345703125,418.42962646484375,7.1982421875,25.75579833984375,23.048919677734375
cube,44,clean,18.6663761138916,15.768196105957031,0.0,0.0,1.8084564208984375
cube,44,prefix_a,4.407963752746582,9.743621826171875,6.647520065307617,6.647520065307617,6.968990325927734
cube,44,prefix_b,2.087658405303955,6.1810150146484375,0.0,0.0,0.0
cube,45,clean,2.5246031284332275,6.659183502197266,0.0,0.0,0.0
cube,45,prefix_a,1.2067164182662964,7.658294200897217,0.0,0.0,3.33090877532959
cube,45,prefix_b,0.8408819437026978,68.32259368896484,0.0,0.0,0.0
cube,46,clean,2.410499095916748,52.86188507080078,2.5043411254882812,17.51801300048828,0.0
cube,46,prefix_a,2.3640265464782715,25.233469009399414,0.0,0.0,5.530036926269531
cube,46,prefix_b,3.667062759399414,91.41535949707031,0.0,41.083251953125,41.083251953125
cube,47,clean,2.126751184463501,11.407807350158691,15.167741775512695,15.167741775512695,22.53818702697754
cube,47,prefix_a,47.03989791870117,45.38960266113281,9.156429290771484,9.156429290771484,9.156429290771484
cube,47,prefix_b,7.644165515899658,20.898706436157227,2.4277191162109375,1.149871826171875,35.634437561035156
cube,48,clean,1.9416855573654175,13.300606727600098,1.8337821960449219,1.8337821960449219,7.240760803222656
cube,48,prefix_a,7.462648868560791,34.590118408203125,0.0,42.93840026855469,25.26715850830078
cube,48,prefix_b,34.63630294799805,69.69110107421875,7.943199157714844,269.4056930541992,48.59703826904297
