task,controller,query_ordinal,condition,success,primitive_steps,prediction_blocks
cube,AP-CEM,38,prefix_a,0,150,270060
cube,AP-CEM,38,prefix_b,0,150,270060
cube,AP-CEM,39,clean,0,150,270060
cube,AP-CEM,39,prefix_a,0,150,270060
cube,AP-CEM,39,prefix_b,0,150,270060
cube,AP-CEM,40,clean,1,37,72016
cube,AP-CEM,40,prefix_a,1,37,72016
cube,AP-CEM,40,prefix_b,0,150,270060
cube,AP-CEM,41,clean,1,43,81018
cube,AP-CEM,41,prefix_a,0,150,270060
cube,AP-CEM,41,prefix_b,1,26,54012
cube,AP-CEM,42,clean,1,15,27006
cube,AP-CEM,42,prefix_a,0,150,270060
cube,AP-CEM,42,prefix_b,0,150,270060
cube,AP-CEM,43,clean,1,0,0
cube,AP-CEM,43,prefix_a,1,0,0
cube,AP-CEM,43,prefix_b,1,0,0
cube,AP-CEM,44,clean,0,150,270060
cube,AP-CEM,44,prefix_a,1,47,90020
cube,AP-CEM,44,prefix_b,1,29,54012
cube,AP-CEM,45,clean,0,150,270060
cube,AP-CEM,45,prefix_a,0,150,270060
cube,AP-CEM,45,prefix_b,0,150,270060
cube,AP-CEM,46,clean,1,31,63014
cube,AP-CEM,46,prefix_a,0,150,270060
cube,AP-CEM,46,prefix_b,1,29,54012
cube,AP-CEM,47,clean,0,150,270060
cube,AP-CEM,47,prefix_a,0,150,270060
cube,AP-CEM,47,prefix_b,0,150,270060
cube,AP-CEM,48,clean,0,150,270060
cube,AP-CEM,48,prefix_a,0,150,270060
cube,AP-CEM,48,prefix_b,0,150,270060
cube,AP-CEM,49,clean,0,150,270060
cube,AP-CEM,49,prefix_a,0,150,270060
cube,AP-CEM,49,prefix_b,0,150,270060
cube,AP-CEM,50,clean,0,150,270060
cube,AP-CEM,50,prefix_a,0,150,270060
cube,AP-CEM,50,prefix_b,0,150,270060
cube,AP-CEM,51,clean,1,17,36008
cube,AP-CEM,51,prefix_a,1,19,36008
cube,AP-CEM,51,prefix_b,0,150,270060
cube,AP-CEM,52,clean,0,150,270060
cube,AP-CEM,52,prefix_a,0,150,270060
cube,AP-CEM,52,prefix_b,0,150,270060
cube,AP-CEM,53,clean,0,150,270060
cube,AP-CEM,53,prefix_a,0,150,270060
cube,AP-CEM,53,prefix_b,0,150,270060
cube,AP-CEM,54,clean,0,150,270060
cube,AP-CEM,54,prefix_a,1,44,81018
cube,AP-CEM,54,prefix_b,0,150,270060
cube,AP-CEM,55,clean,0,150,270060
cube,AP-CEM,55,prefix_a,0,150,270060
cube,AP-CEM,55,prefix_b,0,150,270060
cube,AP-CEM,56,clean,0,150,270060
cube,AP-CEM,56,prefix_a,0,150,270060
cube,AP-CEM,56,prefix_b,0,150,270060
