task,arm,kind,start,config_H,config_arm,stall_W5_numerator,stall_W5_denominator,stall_W5_percent,stall_W10_numerator,stall_W10_denominator,stall_W10_percent,stall_W20_numerator,stall_W20_denominator,stall_W20_percent,physical_detour_0.25_numerator,physical_detour_0.25_denominator,physical_detour_0.25_percent,physical_detour_0.5_numerator,physical_detour_0.5_denominator,physical_detour_0.5_percent,physical_detour_1.0_numerator,physical_detour_1.0_denominator,physical_detour_1.0_percent,latent_detour_numerator,latent_detour_denominator,latent_detour_percent,config_B,config_iterations,config_memory_fraction,config_target_L,config_key,config_span,config_execution
pusht,cem_observed,main,Standard,140,cem_observed,37,39,94.87179487179488,36,39,92.3076923076923,31,39,79.48717948717949,89,89,100,89,89,100,87,89,97.75280898876404,83,89,93.25842696629213,,,,,,,
pusht,cem_observed,main,Perturbed,140,cem_observed,81,90,90,75,90,83.33333333333333,65,90,72.22222222222223,166,166,100,166,166,100,164,166,98.79518072289157,156,166,93.97590361445783,,,,,,,
pusht,cem_observed,main,Perturbed 1,140,cem_observed,42,46,91.30434782608695,38,46,82.6086956521739,33,46,71.73913043478261,82,82,100,82,82,100,81,82,98.78048780487805,77,82,93.90243902439025,,,,,,,
pusht,cem_observed,main,Perturbed 2,140,cem_observed,39,44,88.63636363636364,37,44,84.0909090909091,32,44,72.72727272727273,84,84,100,84,84,100,83,84,98.80952380952381,79,84,94.04761904761905,,,,,,,
pusht,rank_final,main,Standard,140,rank_final,90,95,94.73684210526316,86,95,90.52631578947368,72,95,75.78947368421052,33,33,100,33,33,100,31,33,93.93939393939394,30,33,90.9090909090909,,,,,,,
pusht,rank_final,main,Perturbed,140,rank_final,208,223,93.27354260089686,197,223,88.34080717488789,174,223,78.02690582959642,33,33,100,33,33,100,33,33,100,28,33,84.84848484848484,,,,,,,
pusht,rank_final,main,Perturbed 1,140,rank_final,99,111,89.1891891891892,95,111,85.58558558558559,82,111,73.87387387387388,17,17,100,17,17,100,17,17,100,15,17,88.23529411764706,,,,,,,
pusht,rank_final,main,Perturbed 2,140,rank_final,109,112,97.32142857142857,102,112,91.07142857142857,92,112,82.14285714285714,16,16,100,16,16,100,16,16,100,13,16,81.25,,,,,,,
pusht,rank_observed,main,Standard,140,rank_observed,41,43,95.34883720930233,39,43,90.69767441860465,34,43,79.06976744186046,85,85,100,85,85,100,83,85,97.6470588235294,81,85,95.29411764705883,,,,,,,
pusht,rank_observed,main,Perturbed,140,rank_observed,128,134,95.5223880597015,120,134,89.55223880597015,101,134,75.3731343283582,122,122,100,122,122,100,121,122,99.18032786885246,115,122,94.26229508196721,,,,,,,
pusht,rank_observed,main,Perturbed 1,140,rank_observed,65,67,97.01492537313433,60,67,89.55223880597015,50,67,74.6268656716418,61,61,100,61,61,100,60,61,98.36065573770492,58,61,95.08196721311475,,,,,,,
pusht,rank_observed,main,Perturbed 2,140,rank_observed,63,67,94.02985074626865,60,67,89.55223880597015,51,67,76.11940298507463,61,61,100,61,61,100,61,61,100,57,61,93.44262295081967,,,,,,,
pusht,direct,main,Standard,140,direct,60,62,96.7741935483871,59,62,95.16129032258064,45,62,72.58064516129032,66,66,100,66,66,100,63,66,95.45454545454545,0,0,,,,,,,,
pusht,direct,main,Perturbed,140,direct,196,210,93.33333333333333,191,210,90.95238095238095,167,210,79.52380952380952,46,46,100,46,46,100,46,46,100,0,0,,,,,,,,
pusht,direct,main,Perturbed 1,140,direct,94,103,91.2621359223301,91,103,88.3495145631068,78,103,75.72815533980582,25,25,100,25,25,100,25,25,100,0,0,,,,,,,,
pusht,direct,main,Perturbed 2,140,direct,102,107,95.32710280373831,100,107,93.45794392523365,89,107,83.17757009345794,21,21,100,21,21,100,21,21,100,0,0,,,,,,,,
reacher,cem_final,main,Standard,150,cem_final,0,95,0,0,95,0,0,95,0,19,33,57.57575757575758,17,33,51.515151515151516,15,33,45.45454545454545,8,33,24.242424242424242,,,,,,,
reacher,cem_final,main,Perturbed,150,cem_final,0,198,0,0,198,0,0,198,0,27,55,49.09090909090909,26,55,47.27272727272727,23,55,41.81818181818182,17,55,30.90909090909091,,,,,,,
reacher,cem_final,main,Perturbed 1,150,cem_final,0,100,0,0,100,0,0,100,0,13,27,48.148148148148145,12,27,44.44444444444444,10,27,37.03703703703704,8,27,29.62962962962963,,,,,,,
reacher,cem_final,main,Perturbed 2,150,cem_final,0,98,0,0,98,0,0,98,0,14,28,50,14,28,50,13,28,46.42857142857143,9,28,32.142857142857146,,,,,,,
